Reference Number,Easting,Northing,Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
130021591,426983,433434,3,1,15/01/2013,1545,6,1,1,1,1,3,1,42,9
130021629,424366,445442,2,1,15/01/2013,1640,3,4,4,8,2,3,2,78,9
130021704,424481,435632,2,1,13/01/2013,1345,6,2,1,1,1,2,1,34,4
130022047,430284,432421,1,1,15/01/2013,1313,6,1,1,1,3,3,1,47,9
130023385,430374,433485,1,1,16/01/2013,2015,6,1,4,1,2,2,1,65,11
130023395,429794,433923,2,2,16/01/2013,2100,6,2,4,4,1,3,1,30,9
130023395,429794,433923,2,2,16/01/2013,2100,6,2,4,4,1,3,2,32,9
130023631,433157,435244,2,3,16/01/2013,1305,6,1,1,1,1,3,1,26,9
130023631,433157,435244,2,3,16/01/2013,1305,6,1,1,1,1,3,1,70,9
130023631,433157,435244,2,3,16/01/2013,1305,6,1,1,1,2,3,2,60,9
130024157,436252,435822,2,1,16/01/2013,1630,6,1,1,1,1,3,1,39,9
130025429,425888,429880,2,1,18/01/2013,710,3,1,7,1,1,3,1,35,1
130025839,434857,428434,1,1,18/01/2013,1250,6,4,1,1,1,3,1,82,9
130026506,430877,433880,1,2,18/01/2013,2100,6,3,4,3,1,3,1,27,9
130026506,430877,433880,1,2,18/01/2013,2100,6,3,4,3,2,3,1,20,9
130028329,434813,427913,1,3,20/01/2013,1,6,4,7,1,1,3,1,25,9
130028329,434813,427913,1,3,20/01/2013,1,6,4,7,1,2,3,2,38,9
130028329,434813,427913,1,3,20/01/2013,1,6,4,7,1,2,3,2,27,9
130028445,424128,444004,2,1,20/01/2013,1044,3,4,1,1,1,3,1,35,1
130029418,431857,437833,1,1,19/01/2013,1350,6,1,1,1,3,3,2,42,9
130029491,426701,429825,1,2,21/01/2013,1151,1,2,1,1,2,3,2,27,9
130029491,426701,429825,1,2,21/01/2013,1151,1,2,1,1,2,3,1,1,9
130029972,420668,440755,3,1,21/01/2013,1539,6,3,1,1,1,3,1,29,9
130030230,426510,433865,2,1,21/01/2013,2125,6,3,7,1,1,3,2,35,9
130031334,418962,446446,1,1,22/01/2013,1615,6,2,1,1,3,3,1,8,9
130031371,431481,435005,7,3,22/01/2013,1430,6,3,1,1,1,3,1,33,9
09G1050,430995,424606,2,1,16/09/2013,1535,1,1,1,9,1,3,1,65,9
0A41585,432227,427060,1,2,04/10/2013,1942,1,1,4,1,1,3,1,56,9
0A41585,432227,427060,1,2,04/10/2013,1942,1,1,4,1,2,3,2,52,9
0AB0817,431911,428150,3,2,11/10/2013,1404,1,1,1,8,1,3,1,39,9
0AB0817,431911,428150,3,2,11/10/2013,1404,1,1,1,8,1,2,1,38,9
0AB1477,425435,426520,2,1,11/10/2013,1530,1,1,1,1,1,3,2,46,9
0AF0559,429793,432118,3,3,15/10/2013,1215,1,1,1,1,1,3,2,19,9
0AF0559,429793,432118,3,3,15/10/2013,1215,1,1,1,1,1,3,2,19,9
0AF0559,429793,432118,3,3,15/10/2013,1215,1,1,1,1,1,3,1,43,19
0AG0289,429139,431822,3,1,16/10/2013,825,1,1,1,1,1,3,2,61,9
0AJ1683,430015,432122,1,1,19/10/2013,2015,1,2,4,2,2,3,2,23,9
0AM0676,432244,426028,2,3,22/10/2013,1240,1,2,1,8,1,1,1,65,9
0AM0676,432244,426028,2,3,22/10/2013,1240,1,2,1,8,2,2,2,67,9
0AM0676,432244,426028,2,3,22/10/2013,1240,1,2,1,8,1,3,1,28,19
0AP0717,429951,432118,2,1,25/10/2013,745,1,2,1,2,1,3,1,38,5
0AR0889,429185,431932,2,1,27/10/2013,1147,6,2,1,4,1,3,2,27,9
0BB1414,430678,430577,2,1,11/11/2013,1805,1,1,4,1,1,3,2,55,9
0BD0401,424090,428088,3,2,13/11/2013,1018,1,1,1,1,1,3,2,41,9
0BD0401,424090,428088,3,2,13/11/2013,1018,1,1,1,1,1,3,1,30,9
0C61050,430391,424216,3,2,06/12/2013,2126,1,1,1,1,1,3,2,58,9
0C61050,430391,424216,3,2,06/12/2013,2126,1,1,1,1,1,3,1,28,9
0C90374,432294,426168,2,1,09/12/2013,945,1,1,1,1,1,3,2,34,19
0CD1149,430693,424510,2,1,13/12/2013,1700,3,2,4,2,1,3,1,34,9
0CJ0503,434891,425881,4,2,19/12/2013,1135,1,1,1,1,1,3,1,28,9
0CJ0503,434891,425881,4,2,19/12/2013,1135,1,1,1,1,1,3,1,41,9
0CK0961,429848,432292,3,1,20/12/2013,1515,1,2,1,5,1,3,1,59,9
0CL0053,431849,430432,1,1,21/12/2013,15,1,2,4,8,1,2,1,44,9
0CU1531,430547,431510,1,4,30/12/2013,2327,1,2,4,1,1,3,1,38,9
0CU1531,430547,431510,1,4,30/12/2013,2327,1,2,4,1,2,3,1,35,9
0CU1531,430547,431510,1,4,30/12/2013,2327,1,2,4,1,2,2,2,33,9
0CU1531,430547,431510,1,4,30/12/2013,2327,1,2,4,1,2,3,2,30,9
130000155,431914,432891,1,1,01/01/2013,105,6,2,4,1,3,3,1,19,8
130000503,434299,433794,1,2,01/01/2013,938,3,2,1,1,1,2,1,27,9
130000503,434299,433794,1,2,01/01/2013,938,3,2,1,1,2,2,1,28,9
130000846,427131,431591,1,3,01/01/2013,1518,3,1,1,1,2,2,1,26,9
130000846,427131,431591,1,3,01/01/2013,1518,3,1,1,1,2,2,1,17,9
130000846,427131,431591,1,3,01/01/2013,1518,3,1,1,1,2,2,1,27,9
130002193,431940,435674,1,1,02/01/2013,1545,6,1,1,1,3,3,2,28,9
130002211,430894,433377,2,1,02/01/2013,1600,3,2,4,1,2,3,2,20,9
130002813,431827,441776,2,2,03/01/2013,520,3,2,6,2,1,3,1,45,9
130002813,431827,441776,2,2,03/01/2013,520,3,2,6,2,1,3,1,48,9
130003232,435312,435027,1,1,02/01/2013,1414,6,1,1,1,3,2,2,7,9
130003700,431346,435145,2,1,03/01/2013,1700,6,2,4,2,1,3,1,48,1
130003864,432732,430406,3,1,03/01/2013,1702,4,1,7,1,1,3,2,22,9
130004013,435102,433493,2,1,03/01/2013,1928,3,2,4,1,1,3,2,31,9
130004392,427367,431028,2,1,04/01/2013,700,6,1,7,1,1,2,1,27,20
130004690,435001,438398,2,3,04/01/2013,1140,3,2,1,1,1,3,1,79,9
130004690,435001,438398,2,3,04/01/2013,1140,3,2,1,1,1,3,1,49,19
130004690,435001,438398,2,3,04/01/2013,1140,3,2,1,1,2,3,2,81,9
130004706,427192,439170,2,1,04/01/2013,950,6,2,1,1,1,3,1,37,9
130005099,424460,439070,2,1,04/01/2013,1417,6,2,1,1,1,2,1,67,19
130005175,424232,428230,2,1,04/01/2013,1520,3,1,1,1,1,3,1,35,9
130005214,420808,434738,1,1,04/01/2013,1405,6,1,1,1,2,2,2,83,11
130006917,433461,428999,2,1,05/01/2013,1737,6,1,4,1,1,1,1,17,5
130007118,428097,434518,2,1,06/01/2013,125,6,1,7,1,1,3,1,33,9
130007577,420484,434298,3,1,06/01/2013,1230,3,1,1,1,1,3,1,75,9
130007710,440607,432088,4,2,06/01/2013,1345,3,1,1,1,1,2,1,26,5
130007710,440607,432088,4,2,06/01/2013,1345,3,1,1,1,2,3,2,31,5
130007898,429154,429904,2,1,06/01/2013,1730,6,1,4,1,1,3,2,20,2
130008735,431626,434446,1,1,07/01/2013,1021,6,1,1,1,3,3,2,26,9
130008751,420402,434121,2,1,07/01/2013,955,4,2,1,1,1,3,1,34,1
130009333,426898,435691,2,1,07/01/2013,1300,4,1,1,1,1,3,1,20,1
130009691,429969,423861,3,1,07/01/2013,1732,1,1,7,1,1,3,2,26,9
