Reference Number,Easting,Northing,Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
110000115,423323,432051,1,1,01-Jan-11,0200,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,20,9
110000165,436292,434793,2,2,01-Jan-11,0315,6,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,39,8
110000165,436292,434793,2,2,01-Jan-11,0315,6,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,25,8
110000399,426469,435290,4,3,01-Jan-11,0710,3,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,38,9
110000399,426469,435290,4,3,01-Jan-11,0710,3,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,42,9
110000399,426469,435290,4,3,01-Jan-11,0710,3,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,39,9
110001249,421718,440795,1,1,01-Jan-11,0542,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,21,9
110001429,425053,433342,1,1,01-Jan-11,415,6,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,21,8
110019882,430002,434151,2,1,01-Jan-11,0324,3,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver,Slight,Male,34,9
110070158,433374,437248,1,1,02-Jan-11,2205,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,31,9
110003033,431792,435081,2,2,03-Jan-11,2105,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,30,9
110003033,431792,435081,2,2,03-Jan-11,2105,6,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,27,9
110003823,430264,434843,1,1,04-Jan-11,0855,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,92,9
110004171,429118,430624,2,2,04-Jan-11,1435,6,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,68,9
110004171,429118,430624,2,2,04-Jan-11,1435,6,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,20,9
110004357,440175,433413,2,2,04-Jan-11,1725,3,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,14,9
110004357,440175,433413,2,2,04-Jan-11,1725,3,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,54,9
110004493,438559,433800,2,1,04-Jan-11,2003,1,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,41,9
110011578,427194,433519,1,1,04-Jan-11,1257,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,72,9
